scientific_name,license,author,image_url,wikimedia_page
Acer monspessulanum,PD,Giuseppe Frizzi,https://upload.wikimedia.org/wikipedia/commons/8/8e/Dettaglio_-_Aceraceae_Acer_monspessulanum_Lin._Erbario_Frizzi_n._620.jpg,https://commons.wikimedia.org/wiki/File%3ADettaglio%20-%20Aceraceae%20Acer%20monspessulanum%20Lin.%20Erbario%20Frizzi%20n.%20620.jpg
Acer negundo,CC-BY-4.0,Laura Costello,https://upload.wikimedia.org/wikipedia/commons/e/ec/Acer_negundo_60052613.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20negundo%2060052613.jpg
Acer palmatum,CC0,Syced,https://upload.wikimedia.org/wikipedia/commons/4/46/Japanese_maple_tree_blooming.jpg,https://commons.wikimedia.org/wiki/File%3AJapanese%20maple%20tree%20blooming.jpg
Acer pensylvanicum,CC-BY-2.0,Jason Hollinger,https://upload.wikimedia.org/wikipedia/commons/c/c4/Stiped_Maple_%284750636617%29.jpg,https://commons.wikimedia.org/wiki/File%3AStiped%20Maple%20%284750636617%29.jpg
Acer platanoides,CC-BY-3.0,Rabensteiner,https://upload.wikimedia.org/wikipedia/commons/f/f3/Ahornbluete.jpg,https://commons.wikimedia.org/wiki/File%3AAhornbluete.jpg
Acer pseudoplatanus,PD,Giuseppe Frizzi,https://upload.wikimedia.org/wikipedia/commons/f/fc/Dettaglio_-_Aceraceae_Acer_pseudo-platanus_L._Erbario_Frizzi_Perugia_n._3320.jpg,https://commons.wikimedia.org/wiki/File%3ADettaglio%20-%20Aceraceae%20Acer%20pseudo-platanus%20L.%20Erbario%20Frizzi%20Perugia%20n.%203320.jpg
Acer rubrum,CC-BY-3.0,Ftlombardoaction=editredlink=1,https://upload.wikimedia.org/wikipedia/commons/5/5d/Red_maple.png,https://commons.wikimedia.org/wiki/File%3ARed%20maple.png
Acer rufinerve,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/5/54/Acer_rufinerve_-_Quarryhill_Botanical_Garden_-_DSC03612.JPG,https://commons.wikimedia.org/wiki/File%3AAcer%20rufinerve%20-%20Quarryhill%20Botanical%20Garden%20-%20DSC03612.JPG
Acer saccharinum,CC-BY-2.0,renee_mcgurk,https://upload.wikimedia.org/wikipedia/commons/6/65/Acer_saccharinum_Grimes_Farm_1.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20saccharinum%20Grimes%20Farm%201.jpg
Acer saccharum,CC-BY-2.5,MPF,https://upload.wikimedia.org/wikipedia/commons/2/22/Acer_saccharum_foliage.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20saccharum%20foliage.jpg
Acer shirasawanum,CC-BY-3.0,Jean-Pol_GRANDMONT,https://upload.wikimedia.org/wikipedia/commons/2/2d/Acer_shirasawanum_%27Aureum%27_JPG1b.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20shirasawanum%20%27Aureum%27%20JPG1b.jpg
Acer sieboldianum,CC-BY-3.0,pakku,https://upload.wikimedia.org/wikipedia/commons/0/09/%E8%94%B5%E7%8E%8B%E3%81%AE%E5%BD%A9_Acer_sieboldianum%2C_Kamihozawa%2C_Yamagata%2C_Japan.jpg,https://commons.wikimedia.org/wiki/File%3A%E8%94%B5%E7%8E%8B%E3%81%AE%E5%BD%A9%20Acer%20sieboldianum%2C%20Kamihozawa%2C%20Yamagata%2C%20Japan.jpg
Acer spicatum,CC-BY-3.0,Jean-Pol_GRANDMONT,https://upload.wikimedia.org/wikipedia/commons/e/e3/Acer_spicatum_JPG1L.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20spicatum%20JPG1L.jpg
Acer spp.,CC-BY-4.0,CheapCameraaction=editredlink=1,https://upload.wikimedia.org/wikipedia/commons/d/d7/Field_Test_to_identify_an_invasive_Norway_Maple.jpg,https://commons.wikimedia.org/wiki/File%3AField%20Test%20to%20identify%20an%20invasive%20Norway%20Maple.jpg
Acer tataricum,CC0,%D0%98%D1%80%D0%B8%D0%BD%D0%B0%D0%AF,https://upload.wikimedia.org/wikipedia/commons/d/db/%D0%9A%D0%BB%D1%91%D0%BD_%D1%82%D0%B0%D1%82%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%BE%D1%86%D0%B2%D0%B5%D1%82%D0%B8%D0%B5_%28%D0%A1%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2%29.jpg,https://commons.wikimedia.org/wiki/File%3A%D0%9A%D0%BB%D1%91%D0%BD%20%D1%82%D0%B0%D1%82%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9%20%D1%81%D0%BE%D1%86%D0%B2%D0%B5%D1%82%D0%B8%D0%B5%20%28%D0%A1%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2%29.jpg
Acer tegmentosum,CC-BY-2.5,www.fitofoto.eu,https://upload.wikimedia.org/wikipedia/commons/7/7f/Acer_tegmentosum1.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20tegmentosum1.jpg
Acer triflorum,CC-BY-4.0,Makergreenaction=editredlink=1,https://upload.wikimedia.org/wikipedia/commons/c/cc/%EB%B3%B5%EC%9E%90%EA%B8%B0%EC%9D%98_%EC%9E%8E.jpg,https://commons.wikimedia.org/wiki/File%3A%EB%B3%B5%EC%9E%90%EA%B8%B0%EC%9D%98%20%EC%9E%8E.jpg
Acer truncatum,PD,Pipi69e,https://upload.wikimedia.org/wikipedia/commons/f/f8/Acer_truncatum_bark.jpg,https://commons.wikimedia.org/wiki/File%3AAcer%20truncatum%20bark.jpg
Achillea aegyptiaca,PD,"Sibthrop, J., Smith, J.E.",https://upload.wikimedia.org/wikipedia/commons/8/89/Achillea_aegyptiaca.jpg,https://commons.wikimedia.org/wiki/File%3AAchillea%20aegyptiaca.jpg
Achillea ageratum,PD,USDA Natural Resources Conservation Service,https://upload.wikimedia.org/wikipedia/commons/f/f9/Achillea_ageratum_NY-dist-map.png,https://commons.wikimedia.org/wiki/File%3AAchillea%20ageratum%20NY-dist-map.png
Achillea clavennae,CC-BY-4.0,Robert_Flogaus-Faust,https://upload.wikimedia.org/wikipedia/commons/2/28/Achillea_clavennae_3_RF.jpg,https://commons.wikimedia.org/wiki/File%3AAchillea%20clavennae%203%20RF.jpg
Achillea filipendulina,CC0,HelgeRieder,https://upload.wikimedia.org/wikipedia/commons/f/f0/GoldgarbeH1a.jpg,https://commons.wikimedia.org/wiki/File%3AGoldgarbeH1a.jpg
Achillea millefolium,PD,Kilom691,https://upload.wikimedia.org/wikipedia/commons/d/d1/Illustration_Achillea_millefolium0_clean.jpg,https://commons.wikimedia.org/wiki/File%3AIllustration%20Achillea%20millefolium0%20clean.jpg
Achillea ptarmica,CC-BY-4.0,Robert_Flogaus-Faust,https://upload.wikimedia.org/wikipedia/commons/c/c0/Achillea_ptarmica_RF.jpg,https://commons.wikimedia.org/wiki/File%3AAchillea%20ptarmica%20RF.jpg
Achillea sibirica,PD,Denali National Park and Preserve,https://upload.wikimedia.org/wikipedia/commons/7/7b/Achillea_alpina_%287833438438%29.jpg,https://commons.wikimedia.org/wiki/File%3AAchillea%20alpina%20%287833438438%29.jpg
Achimenes spp.,,,,
Acmella oleracea,CC-BY-4.0,Chirocca77,https://upload.wikimedia.org/wikipedia/commons/4/41/Br%C3%A8de_mafana_02.jpg,https://commons.wikimedia.org/wiki/File%3ABr%C3%A8de%20mafana%2002.jpg
Aconitum carmichaelii,CC-BY-2.5,TeunSpaans,https://upload.wikimedia.org/wikipedia/commons/9/9a/Aconitum_carmichaelli_%27arendsii%27_27-10-2005_16.09.36.JPG,https://commons.wikimedia.org/wiki/File%3AAconitum%20carmichaelli%20%27arendsii%27%2027-10-2005%2016.09.36.JPG
Aconitum lycoctonum,CC-BY-4.0,Robert_Flogaus-Faust,https://upload.wikimedia.org/wikipedia/commons/9/9c/Aconitum_lycoctonum_RF.jpg,https://commons.wikimedia.org/wiki/File%3AAconitum%20lycoctonum%20RF.jpg
Aconitum napellus,PD,Walther Otto Müller,https://upload.wikimedia.org/wikipedia/commons/f/fc/Illustration_Aconitum_napellus0.jpg,https://commons.wikimedia.org/wiki/File%3AIllustration%20Aconitum%20napellus0.jpg
Acorus calamus,CC0,Naturalis Biodiversity Center,https://upload.wikimedia.org/wikipedia/commons/7/72/Acorus_calamus_SYNTYPE.jpg,https://commons.wikimedia.org/wiki/File%3AAcorus%20calamus%20SYNTYPE.jpg
Acorus gramineus 'Variegatus',CC-BY-2.0,cultivar413,https://upload.wikimedia.org/wikipedia/commons/7/72/190823_127_Encinitas_CA%2C_San_Diego_Bot_Gdn_-_Tea_House_Gdn%2C_Acorus_gramineus_%27Variegatus%27%2C_IIresine_herbstii_Bloodleaf_Plant%2C_Pittosporum_tobira_%27Wheeler%27s_Dwarf%27.jpg,https://commons.wikimedia.org/wiki/File%3A190823%20127%20Encinitas%20CA%2C%20San%20Diego%20Bot%20Gdn%20-%20Tea%20House%20Gdn%2C%20Acorus%20gramineus%20%27Variegatus%27%2C%20IIresine%20herbstii%20Bloodleaf%20Plant%2C%20Pittosporum%20tobira%20%27Wheeler%27s%20Dwarf%27.jpg
Acorus gramineus,CC-BY-2.0,Cliff,https://upload.wikimedia.org/wikipedia/commons/f/f3/Acorus_gramineus.jpg,https://commons.wikimedia.org/wiki/File%3AAcorus%20gramineus.jpg
Actaea cimicifuga,CC0,Татьяна Фирсова,https://upload.wikimedia.org/wikipedia/commons/c/c4/Actaea_cimicifuga_91443277.jpg,https://commons.wikimedia.org/wiki/File%3AActaea%20cimicifuga%2091443277.jpg
Actaea racemosa,CC0,Cbaile19,https://upload.wikimedia.org/wikipedia/commons/6/69/Actaea_racemosa%2C_2015-07-05%2C_Mount_Lebanon%2C_06.jpg,https://commons.wikimedia.org/wiki/File%3AActaea%20racemosa%2C%202015-07-05%2C%20Mount%20Lebanon%2C%2006.jpg
Actaea simplex,PD,Hardyplants,https://upload.wikimedia.org/wikipedia/commons/7/7a/Cimicifuga_ramosa_-_spikes.jpg,https://commons.wikimedia.org/wiki/File%3ACimicifuga%20ramosa%20-%20spikes.jpg
Actinidia arguta,CC-BY-3.0,Rillke,https://upload.wikimedia.org/wikipedia/commons/0/09/Actinidia_arguta_fruit_-_hardy_kiwi_-_Kiwibeere_05.jpg,https://commons.wikimedia.org/wiki/File%3AActinidia%20arguta%20fruit%20-%20hardy%20kiwi%20-%20Kiwibeere%2005.jpg
Actinidia chinensis,CC-BY-4.0,"Ferguson, A R",https://upload.wikimedia.org/wikipedia/commons/f/f8/Actinidia_chinensis_chinensis_Planch._%28AM_AK355289%29.jpg,https://commons.wikimedia.org/wiki/File%3AActinidia%20chinensis%20chinensis%20Planch.%20%28AM%20AK355289%29.jpg
Actinidia kolomikta,PD,Qwert1234,https://upload.wikimedia.org/wikipedia/commons/f/f1/Actinidia_kolomikta_01.JPG,https://commons.wikimedia.org/wiki/File%3AActinidia%20kolomikta%2001.JPG
Actinidia pilosula,,,,
Adansonia digitata,CC-BY-2.0,Quinn Norton,https://upload.wikimedia.org/wikipedia/commons/1/12/Baobob_tree.jpg,https://commons.wikimedia.org/wiki/File%3ABaobob%20tree.jpg
Adenium obesum,CC-BY-4.0,Missvain,https://upload.wikimedia.org/wikipedia/commons/d/d7/Adenium_obesum_at_the_Indianapolis_Zoo_-_June_2022_-_Sarah_Stierch_07.jpg,https://commons.wikimedia.org/wiki/File%3AAdenium%20obesum%20at%20the%20Indianapolis%20Zoo%20-%20June%202022%20-%20Sarah%20Stierch%2007.jpg
Adiantum aleuticum,CC-BY-2.5,Walter Siegmund,https://upload.wikimedia.org/wikipedia/commons/1/12/Adiantum_pedatum_09905.JPG,https://commons.wikimedia.org/wiki/File%3AAdiantum%20pedatum%2009905.JPG
Adiantum capillus veneris,CC-BY-4.0,Wasp32,https://upload.wikimedia.org/wikipedia/commons/0/0d/Adiantum_capillus-veneris_oahu.jpg,https://commons.wikimedia.org/wiki/File%3AAdiantum%20capillus-veneris%20oahu.jpg
Adiantum hispidulum,CC0,Poyt448,https://upload.wikimedia.org/wikipedia/commons/c/cf/Adiantum_Chatswood_west.jpg,https://commons.wikimedia.org/wiki/File%3AAdiantum%20Chatswood%20west.jpg
Adiantum pedatum,CC-BY-2.0,Doug McGrady,https://upload.wikimedia.org/wikipedia/commons/8/86/Adiantum_pedatum_%28northern_maidenhair_fern%29%2C_Willsboro%2C_NY_%2832127843596%29.jpg,https://commons.wikimedia.org/wiki/File%3AAdiantum%20pedatum%20%28northern%20maidenhair%20fern%29%2C%20Willsboro%2C%20NY%20%2832127843596%29.jpg
Adiantum raddianum,CC-BY-3.0,Forest  Kim Starr,https://upload.wikimedia.org/wikipedia/commons/4/45/Starr_030807-0143_Adiantum_raddianum.jpg,https://commons.wikimedia.org/wiki/File%3AStarr%20030807-0143%20Adiantum%20raddianum.jpg
Adiantum venustum,PD,Denis.pr%C3%A9v%C3%B4taction=editredlink=1,https://upload.wikimedia.org/wikipedia/commons/1/1b/Adiantum_venustum_Hooker.jpg,https://commons.wikimedia.org/wiki/File%3AAdiantum%20venustum%20Hooker.jpg
Adonis amurensis,PD,"Torii, Kiyonaga, 1752-1815, artist",https://upload.wikimedia.org/wikipedia/commons/0/01/Ueki_fukujus%C5%8D_uri_LCCN2008660654.jpg,https://commons.wikimedia.org/wiki/File%3AUeki%20fukujus%C5%8D%20uri%20LCCN2008660654.jpg
Adromischus cristatus,PD,Daderot,https://upload.wikimedia.org/wikipedia/commons/1/15/Adromischus_cristatus_-_Gaiser_Conservatory_%28Manito_Park%29_-_IMG_7008.JPG,https://commons.wikimedia.org/wiki/File%3AAdromischus%20cristatus%20-%20Gaiser%20Conservatory%20%28Manito%20Park%29%20-%20IMG%207008.JPG
Adromischus maculatus,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/1/19/Adromischus_maculatus_-_Bergianska_tr%C3%A4dg%C3%A5rden_-_Stockholm%2C_Sweden_-_DSC00425.JPG,https://commons.wikimedia.org/wiki/File%3AAdromischus%20maculatus%20-%20Bergianska%20tr%C3%A4dg%C3%A5rden%20-%20Stockholm%2C%20Sweden%20-%20DSC00425.JPG
Adromischus marianae,CC-BY-3.0,Christer_T_Johansson,https://upload.wikimedia.org/wikipedia/commons/4/4f/Adromischus_marianae-IMG_3215.jpg,https://commons.wikimedia.org/wiki/File%3AAdromischus%20marianae-IMG%203215.jpg
Adromischus marianiae 'hallii',,,,
Adromischus poellnitzianus,PD,Davepape,https://upload.wikimedia.org/wikipedia/commons/6/67/Adromischus_poellnitzianus_-_Buffalo_Botanical_Gardens.jpg,https://commons.wikimedia.org/wiki/File%3AAdromischus%20poellnitzianus%20-%20Buffalo%20Botanical%20Gardens.jpg
Aechmea chantinii 'Samuri',,,,
Aechmea fasciata,CC-BY-2.0,Cliff,https://upload.wikimedia.org/wikipedia/commons/2/25/Aechmea_%283073309482%29.jpg,https://commons.wikimedia.org/wiki/File%3AAechmea%20%283073309482%29.jpg
Aechmea fendleri,CC0,Tortie_tude,https://upload.wikimedia.org/wikipedia/commons/b/bd/Aechmea_fendleri.jpg,https://commons.wikimedia.org/wiki/File%3AAechmea%20fendleri.jpg
Aechmea fulgens,CC-BY-4.0,Missvain,https://upload.wikimedia.org/wikipedia/commons/a/a5/Coralberry_-_United_States_Botanic_Garden%2C_Washington%2C_D.C._-_Sarah_Stierch_-_B.jpg,https://commons.wikimedia.org/wiki/File%3ACoralberry%20-%20United%20States%20Botanic%20Garden%2C%20Washington%2C%20D.C.%20-%20Sarah%20Stierch%20-%20B.jpg
Aechmea recurvata,CC-BY-2.0,Dick Culbert,https://upload.wikimedia.org/wikipedia/commons/2/25/Aechmea_recurvata_%2819498220592%29.jpg,https://commons.wikimedia.org/wiki/File%3AAechmea%20recurvata%20%2819498220592%29.jpg
Aegopodium podagraria,PD,Unknown,https://upload.wikimedia.org/wikipedia/commons/e/e7/Illustration_Aegopodium_podagraria0.jpg,https://commons.wikimedia.org/wiki/File%3AIllustration%20Aegopodium%20podagraria0.jpg
Aeonium 'Lily Pad',,,,
Aeonium arboreum 'Atropureum',,,,
Aeonium arboreum,CC0,Solarence,https://upload.wikimedia.org/wikipedia/commons/9/91/Aeonium_arborescens_-_big.jpg,https://commons.wikimedia.org/wiki/File%3AAeonium%20arborescens%20-%20big.jpg
Aeonium canariense,PD,Tangopaso,https://upload.wikimedia.org/wikipedia/commons/d/d5/Aeonium_canariense_Roquebrune.jpg,https://commons.wikimedia.org/wiki/File%3AAeonium%20canariense%20Roquebrune.jpg
Aeonium decorum 'Variegata',,,,
Aeonium haworthii,CC-BY-3.0,Montrealais,https://upload.wikimedia.org/wikipedia/commons/f/f1/Aeonium_haworthii_-_JBM.jpg,https://commons.wikimedia.org/wiki/File%3AAeonium%20haworthii%20-%20JBM.jpg
Aeonium sedifolium,CC-BY-2.0,stephen boisvert,https://upload.wikimedia.org/wikipedia/commons/a/ac/Aeonium_Sedifolium_%285022975688%29.jpg,https://commons.wikimedia.org/wiki/File%3AAeonium%20Sedifolium%20%285022975688%29.jpg
Aeonium urbicum,PD,Chhe,https://upload.wikimedia.org/wikipedia/commons/b/b9/AeoniumUrbicum.jpg,https://commons.wikimedia.org/wiki/File%3AAeoniumUrbicum.jpg
Aeschynanthus lobbianus,CC-BY-2.0,geoff mckay,https://upload.wikimedia.org/wikipedia/commons/2/2b/Aeschynanthus_lobbianus_%2849374593748%29.jpg,https://commons.wikimedia.org/wiki/File%3AAeschynanthus%20lobbianus%20%2849374593748%29.jpg
Aeschynanthus pulcher 'Black Pagoda',,,,
Aeschynanthus pulcher,PD,Pseudopanax,https://upload.wikimedia.org/wikipedia/commons/8/8a/Lipstick_plant_%28Aeschynanthus_pulcher%29_flowers_and_leaves.jpg,https://commons.wikimedia.org/wiki/File%3ALipstick%20plant%20%28Aeschynanthus%20pulcher%29%20flowers%20and%20leaves.jpg
Aesculus chinensis,PD,Tangopaso,https://upload.wikimedia.org/wikipedia/commons/c/c3/Aesculus_wilsonii_%28Jardin_des_Plantes_de_Paris%29.jpg,https://commons.wikimedia.org/wiki/File%3AAesculus%20wilsonii%20%28Jardin%20des%20Plantes%20de%20Paris%29.jpg
Aesculus hippocastanum,PD,Robert Breitinger,https://upload.wikimedia.org/wikipedia/commons/9/9c/Zentralbibliothek_Z%C3%BCrich_-_Gartenrondell_-_991080653509705501.jpg,https://commons.wikimedia.org/wiki/File%3AZentralbibliothek%20Z%C3%BCrich%20-%20Gartenrondell%20-%20991080653509705501.jpg
Aesculus indica,CC-BY-3.0,Dcruz01,https://upload.wikimedia.org/wikipedia/commons/d/dc/Aesculus_indica_tree.jpg,https://commons.wikimedia.org/wiki/File%3AAesculus%20indica%20tree.jpg
Aesculus pavia,CC-BY-4.0,Nv8200pa,https://upload.wikimedia.org/wikipedia/commons/8/84/Red_Buckeye_Palmetto_State_Park_Texas_2023.jpg,https://commons.wikimedia.org/wiki/File%3ARed%20Buckeye%20Palmetto%20State%20Park%20Texas%202023.jpg
Aesculus turbinata,CC0,Hidaka-Nyoaction=editredlink=1,https://upload.wikimedia.org/wikipedia/commons/9/9d/%E5%A4%A9%E7%A5%9E%E7%A4%BE%E3%81%AE%E3%83%88%E3%83%81%E3%83%8E%E3%82%AD%EF%BC%882017%E5%B9%B48%E6%9C%88%EF%BC%89.jpg,https://commons.wikimedia.org/wiki/File%3A%E5%A4%A9%E7%A5%9E%E7%A4%BE%E3%81%AE%E3%83%88%E3%83%81%E3%83%8E%E3%82%AD%EF%BC%882017%E5%B9%B48%E6%9C%88%EF%BC%89.jpg
Aesculus × carnea,CC0,EN NOIR  BLANC,https://upload.wikimedia.org/wikipedia/commons/7/79/Arbres_d%27ornement-2_-_ornamental_trees_in_colour_-_Public_domain_book_illustration_%28visual_explanation%2C_informative_drawing%2C_plate%29_from_Larousse_du_XX%C3%A8me_si%C3%A8cle_1932.jpg,https://commons.wikimedia.org/wiki/File%3AArbres%20d%27ornement-2%20-%20ornamental%20trees%20in%20colour%20-%20Public%20domain%20book%20illustration%20%28visual%20explanation%2C%20informative%20drawing%2C%20plate%29%20from%20Larousse%20du%20XX%C3%A8me%20si%C3%A8cle%201932.jpg
Agapanthus 'Black Buddhist',,,,
Agapanthus 'Dr Brouwer',,,,
Agapanthus africanus 'Albus',,,,
Agapanthus africanus 'Sunfield',,,,
Agapanthus africanus,CC-BY-3.0,lienyuan lee,https://upload.wikimedia.org/wikipedia/commons/c/c7/%E7%99%BE%E5%AD%90%E8%93%AE_Agapanthus_africanus_-_panoramio.jpg,https://commons.wikimedia.org/wiki/File%3A%E7%99%BE%E5%AD%90%E8%93%AE%20Agapanthus%20africanus%20-%20panoramio.jpg
